id;fname;lname;adress
1;digital ADP Borders;installation;pixel
2;Reunion;web-readiness Berkshire;application mindshare
3;Rustic Plastic Cheese;Rapids;Cambridgeshire
4;Dynamic pricing structure Communications;User-centric methodologies;leverage Liaison
5;circuit FTP Gorgeous;dot-com;Senior Seychelles Rupee
6;Factors;Checking Account Concrete Coordinator;models
7;Mauritius Auto Loan Account;Granite;collaborative Sports Practical
8;Malagasy Ariary Ergonomic Lights;open system;tertiary circuit
9;deposit Mouse;River bypass;teal Fall
10;Automotive primary;interactive Chair solid state;Oklahoma calculating Cheese
